Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL TAQUARIL,31357537,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DESEMBARGADOR BRAULIO, 3550 CIDADE JARDIM TAQUARIL. 30290-020 Belo Horizonte - MG.",(31) 32775684,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.92191422,-43.88126157
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL SANTA CRUZ,31357545,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA FLORICENA FARIA FRAGA, 241 SANTA CRUZ. 31150-580 Belo Horizonte - MG.",(31) 32776089,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.88009037,-43.94050756
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL CACHOEIRINHA,31357553,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CONDE SANTA MARINHA, 00370 CACHOEIRINHA. 31130-080 Belo Horizonte - MG.",(31) 32776023,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-19.89394,-43.94528
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL JARDIM VITORIA,31357561,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA BRANCA, 51 VITORIA. 31970-685 Belo Horizonte - MG.",(31) 32777898,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.86025,-43.88258
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA ACIDALIA LOTT,31357570,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ANTONIO MARIANO DE ABREU, 1364 PAULO VI. 31995-000 Belo Horizonte - MG.",(31) 32468020,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-19.83404,-43.88961
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL OURO MINAS,31357588,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DAS URSULINAS, 98 OURO MINAS. 31870-260 Belo Horizonte - MG.",(31) 32771302,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.8454,-43.90505
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL BELMONTE,31357596,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DOM SILVERIO GOMES PIMENTA, 325 BELMONTE. 31870-750 Belo Horizonte - MG.",(31) 32468045,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.84614,-43.90035
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL SAO GABRIEL,31357600,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SAO JOAO DA SERRA, 00140 SAO GABRIEL. 31980-580 Belo Horizonte - MG.",(31) 32777881,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.85291736,-43.91387978
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL COQUEIRO VERDE,31357618,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DAS ALMAS, 1200 CONJUNTO PAULO VI. 31998-020 Belo Horizonte - MG.",(31) 32776625,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-19.83358429,-43.88178735
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL CAPITAO EDUARDO,31357626,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DOS MENSAGEIROS, 95 CONJUNTO CAPITAO EDUARDO. 31998-380 Belo Horizonte - MG.",(31) 32771557,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-19.82996196,-43.86977922
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL CAVALINHO DE PAU,31357634,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CIRCULAR, 00315 CIRCULAR. SAO GABRIEL. 31980-630 Belo Horizonte - MG.",(31) 32776798,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-19.85375362,-43.91282768
